Lease_ID;Building;Address;City;Postal_code;Churned;Lease_Start;Lease_Release;Size;Rent_Begin;Rent_Latest;Rent_Begin_sqm;Rent_Latest_sqm;Floor_level;Construction_year;Rooms;#_Apartments;Lease_Term;Tenure;Tenant1_Age;Tenant2_Age;Tenant3_Age;Tenant1_Gender;Tenant2_Gender;Tenant3_Gender;Tenant_Age(s);Tenant_Gender
183-10-1-2;Vester Alle 21;Vester Alle 21, st.;Aarhus C;8000;1;01/12/2006;30/09/2011;95;95796;114684;1008;1207;St;2000;5;5;30/06/2011;54;44;;;0;;;44;Male
183-10-1-4;Vester Alle 21;Vester Alle 21, st.;Aarhus C;8000;1;01/10/2011;31/08/2014;95;96060;103728;1011;1092;St;2000;5;5;31/05/2014;31;46;;;1;;;46;Female
183-10-1-6;Vester Alle 21;Vester Alle 21, st.;Aarhus C;8000;1;01/10/2014;30/11/2014;95;103728;103728;1092;1092;St;2000;5;5;30/08/2014;109;;;;;;;;
183-10-1-8;Vester Alle 21;Vester Alle 21, st.;Aarhus C;8000;1;01/12/2014;28/02/2018;95;114264;124860;1203;1314;St;2000;5;5;28/11/2017;35;48;;;0;;;48;Male
183-10-1-10;Vester Alle 21;Vester Alle 21, st.;Aarhus C;8000;1;01/03/2018;31/07/2021;95;117660;131400;1239;1383;St;2000;5;5;30/04/2021;37;33;40;;1;0;;37;Both
183-10-1-12;Vester Alle 21;Vester Alle 21, st.;Aarhus C;8000;0;01/07/2021;;95;131400;139925,88;1383;1473;St;2000;5;5;;28;47;55;;1;0;;51;Both
183-10-2-2;Vester Alle 21;Vester Alle 21, 1.;Aarhus C;8000;1;01/03/2006;31/10/2010;95;93444;110520;984;1163;1;2000;5;5;31/07/2010;52;33;33;;1;0;;33;Both
183-10-2-4;Vester Alle 21;Vester Alle 21, 1.;Aarhus C;8000;0;01/11/2010;;95;103260;137088;1087;1443;1;2000;5;5;;156;45;;;0;;;45;Male
183-10-3-2;Vester Alle 21;Vester Alle 21, 2.;Aarhus C;8000;1;15/06/2009;30/06/2010;95;103260;106356;1087;1120;2;2000;5;5;30/03/2010;9;26;25;;0;1;;26;Both
183-10-3-4;Vester Alle 21;Vester Alle 21, 2.;Aarhus C;8000;1;01/07/2010;31/03/2011;95;106356;110796;1120;1166;2;2000;5;5;31/12/2010;5;28;;;1;;;28;Female
183-10-3-6;Vester Alle 21;Vester Alle 21, 2.;Aarhus C;8000;1;01/04/2011;30/09/2014;95;110796;119316;1166;1256;2;2000;5;5;30/06/2014;38;35;42;;1;0;;39;Both
183-10-3-8;Vester Alle 21;Vester Alle 21, 2.;Aarhus C;8000;1;15/09/2014;31/08/2015;95;119316;122304;1256;1287;2;2000;5;5;31/05/2015;8;;;;;;;;
183-10-3-10;Vester Alle 21;Vester Alle 21, 2.;Aarhus C;8000;1;01/06/2015;30/11/2017;95;122304;127200;1287;1339;2;2000;5;5;30/08/2017;26;;;;;;;;
183-10-3-12;Vester Alle 21;Vester Alle 21, 2.;Aarhus C;8000;1;01/10/2017;31/07/2019;95;127200;128565,12;1339;1353;2;2000;5;5;30/04/2019;18;53;;;1;;;53;Female
183-10-3-14;Vester Alle 21;Vester Alle 21, 2.;Aarhus C;8000;0;01/08/2019;;95;128400;140352,36;1352;1477;2;2000;5;5;;51;50;46;;0;1;;48;Both
183-10-4-2;Vester Alle 21;Vester Alle 21, 3.;Aarhus C;8000;1;01/08/2006;31/01/2010;95;93444;110520;984;1163;3;2000;4;5;31/10/2009;38;38;;;1;;;38;Female
183-10-4-4;Vester Alle 21;Vester Alle 21, 3.;Aarhus C;8000;1;01/02/2010;30/06/2020;95;103260;138768;1087;1461;3;2000;4;5;30/03/2020;121;30;32;;1;0;;31;Both
183-10-4-6;Vester Alle 21;Vester Alle 21, 3.;Aarhus C;8000;1;01/07/2020;30/09/2020;95;131400;131400;1383;1383;3;2000;4;5;30/06/2020;40;52;;;1;;;52;Female
183-10-4-8;Vester Alle 21;Vester Alle 21, 3.;Aarhus C;8000;1;01/08/2020;31/08/2023;95;131400;142803,96;1383;1503;3;2000;4;5;31/05/2023;33;24;;;1;;;24;Female
183-10-4-10;Vester Alle 21;Vester Alle 21, 3.;Aarhus C;8000;0;01/09/2023;;95;131400;131400;1383;1383;3;2000;4;5;;2;29;28;;0;1;;29;Both
183-10-5-2;Vester Alle 21;Vester Alle 21, 4.;Aarhus C;8000;1;01/01/2008;31/01/2011;70;76896;83004;1099;1186;4;2000;3;5;31/10/2010;33;26;;;0;;;26;Male
183-10-5-4;Vester Alle 21;Vester Alle 21, 4.;Aarhus C;8000;1;01/02/2011;31/01/2017;70;83004;95940;1186;1371;4;2000;3;5;31/10/2016;68;29;;;0;;;29;Male
183-10-5-6;Vester Alle 21;Vester Alle 21, 4.;Aarhus C;8000;1;01/12/2016;30/11/2021;70;95940;101400;1371;1449;4;2000;3;5;30/08/2021;56;25;21;;0;1;;23;Both
183-10-5-8;Vester Alle 21;Vester Alle 21, 4.;Aarhus C;8000;1;15/10/2021;30/09/2023;70;101400;105456;1449;1507;4;2000;3;5;30/06/2023;20;27;;;0;;;27;Male
183-10-5-10;Vester Alle 21;Vester Alle 21, 4.;Aarhus C;8000;0;01/10/2023;;70;101400;101400;1449;1449;4;2000;3;5;;1;22;22;;0;1;;22;Both
183-11-1-2;Falstersgade 5;Falstersgade 5, kld. th.;Aarhus C;8000;1;01/04/2009;30/06/2014;78;80484;87816;1032;1126;Kld;1998;3;11;30/03/2014;59;18;18;;1;1;;18;Female
183-11-1-4;Falstersgade 5;Falstersgade 5, kld. th.;Aarhus C;8000;1;01/07/2014;30/09/2017;78;87816;100800;1126;1292;Kld;1998;3;11;30/06/2017;35;21;;;1;;;21;Female
183-11-1-6;Falstersgade 5;Falstersgade 5, kld. th.;Aarhus C;8000;1;01/09/2017;31/07/2020;78;100800;102686,88;1292;1316;Kld;1998;3;11;30/04/2020;31;21;21;;0;0;;21;Male
183-11-1-8;Falstersgade 5;Falstersgade 5, kld. th.;Aarhus C;8000;1;01/08/2020;31/10/2022;78;105540;114696;1353;1470;Kld;1998;3;11;31/07/2022;23;20;21;;1;1;;21;Female
183-11-1-10;Falstersgade 5;Falstersgade 5, kld. th.;Aarhus C;8000;1;01/11/2022;30/06/2023;78;106200;106200;1362;1362;Kld;1998;3;11;30/03/2023;4;21;21;;0;0;;21;Male
183-11-1-12;Falstersgade 5;Falstersgade 5, kld. th.;Aarhus C;8000;0;01/07/2023;;78;105600;105600;1354;1354;Kld;1998;3;11;;4;19;19;;0;0;;19;Male
183-11-2-2;Falstersgade 5;Falstersgade 5, st. tv.;Aarhus C;8000;1;01/03/2009;29/02/2012;53;62904;66696;1187;1258;St;1998;2;11;29/11/2011;32;24;;;0;;;24;Male
183-11-2-4;Falstersgade 5;Falstersgade 5, st. tv.;Aarhus C;8000;1;01/02/2012;30/04/2013;53;66696;68268;1258;1288;St;1998;2;11;30/01/2013;11;32;;;1;;;32;Female
183-11-2-6;Falstersgade 5;Falstersgade 5, st. tv.;Aarhus C;8000;1;01/05/2013;30/09/2018;53;66696;76836;1258;1450;St;1998;2;11;30/06/2018;61;30;;;1;;;30;Female
183-11-2-8;Falstersgade 5;Falstersgade 5, st. tv.;Aarhus C;8000;0;01/10/2018;;53;76836;85368;1450;1611;St;1998;2;11;;61;40;;;1;;;40;Female
183-11-3-2;Falstersgade 5;Falstersgade 5, st. th.;Aarhus C;8000;0;15/03/1998;;71;57525;83328,12;810;1174;St;1998;3;11;;308;;;;;;;;
183-11-4-2;Falstersgade 5;Falstersgade 5, 1. tv.;Aarhus C;8000;1;01/08/2009;30/04/2012;53;64752;66696;1222;1258;1;1998;2;11;30/01/2012;29;40;;;0;;;40;Male
183-11-4-4;Falstersgade 5;Falstersgade 5, 1. tv.;Aarhus C;8000;1;01/04/2012;31/01/2014;53;66696;70320;1258;1327;1;1998;2;11;31/10/2013;18;49;;;1;;;49;Female
183-11-4-6;Falstersgade 5;Falstersgade 5, 1. tv.;Aarhus C;8000;1;15/02/2014;31/01/2021;53;66696;84432;1258;1593;1;1998;2;11;31/10/2020;80;46;;;1;;;46;Female
183-11-4-8;Falstersgade 5;Falstersgade 5, 1. tv.;Aarhus C;8000;0;15/10/2020;;53;81600;87372;1540;1649;1;1998;2;11;;37;32;;;1;;;32;Female
183-11-5-2;Falstersgade 5;Falstersgade 5, 1. th.;Aarhus C;8000;1;01/04/2008;31/03/2011;71;79800;87204;1124;1228;1;1998;3;11;31/12/2010;32;28;30;;1;0;;29;Both
183-11-5-4;Falstersgade 5;Falstersgade 5, 1. th.;Aarhus C;8000;1;01/04/2011;30/06/2011;71;84672;84672;1193;1193;1;1998;3;11;30/03/2011;151;27;30;;1;0;;29;Both
183-11-5-6;Falstersgade 5;Falstersgade 5, 1. th.;Aarhus C;8000;1;01/05/2011;31/07/2014;71;84672;92520;1193;1303;1;1998;3;11;30/04/2014;35;45;;;0;;;45;Male
183-11-5-8;Falstersgade 5;Falstersgade 5, 1. th.;Aarhus C;8000;1;01/06/2014;31/08/2019;71;92520;107256;1303;1511;1;1998;3;11;31/05/2019;59;28;;;0;;;28;Male
183-11-5-10;Falstersgade 5;Falstersgade 5, 1. th.;Aarhus C;8000;1;01/09/2019;30/09/2020;71;102000;102000;1437;1437;1;1998;3;11;30/06/2020;9;;;;;;;;
183-11-5-12;Falstersgade 5;Falstersgade 5, 1. th.;Aarhus C;8000;1;16/07/2020;31/01/2023;71;102000;100200;1437;1411;1;1998;3;11;31/10/2022;27;26;26;;0;1;;26;Both
183-11-5-14;Falstersgade 5;Falstersgade 5, 1. th.;Aarhus C;8000;0;01/01/2023;;71;100200;100200;1411;1411;1;1998;3;11;;10;26;26;;0;1;;26;Both
183-11-6-2;Falstersgade 5;Falstersgade 5, 2. tv.;Aarhus C;8000;1;01/08/2009;28/02/2014;53;62868;72876;1186;1375;2;1998;2;11;28/11/2013;51;24;;;0;;;24;Male
183-11-6-4;Falstersgade 5;Falstersgade 5, 2. tv.;Aarhus C;8000;1;01/03/2014;31/03/2019;53;66696;78336;1258;1478;2;1998;2;11;31/12/2018;57;23;;;0;;;23;Male
183-11-6-6;Falstersgade 5;Falstersgade 5, 2. tv.;Aarhus C;8000;1;01/04/2019;31/12/2019;53;79140;79140;1493;1493;2;1998;2;11;30/09/2019;5;28;;;0;;;28;Male
183-11-6-8;Falstersgade 5;Falstersgade 5, 2. tv.;Aarhus C;8000;1;01/12/2019;31/10/2021;53;79140;79368;1493;1498;2;1998;2;11;31/07/2021;19;25;;;0;;;25;Male
183-11-6-10;Falstersgade 5;Falstersgade 5, 2. tv.;Aarhus C;8000;0;01/11/2021;;53;80340;83556;1516;1577;2;1998;2;11;;24;21;21;;1;0;;21;Both
183-11-7-2;Falstersgade 5;Falstersgade 5, 2. th.;Aarhus C;8000;1;01/01/2008;30/09/2010;71;82200;84660;1158;1192;2;1998;3;11;30/06/2010;29;24;;;0;;;24;Male
183-11-7-4;Falstersgade 5;Falstersgade 5, 2. th.;Aarhus C;8000;1;01/10/2010;18/06/2012;71;82200;87204;1158;1228;2;1998;3;11;18/03/2012;17;28;;;0;;;28;Male
183-11-7-6;Falstersgade 5;Falstersgade 5, 2. th.;Aarhus C;8000;1;01/07/2012;30/04/2014;71;87204;92520;1228;1303;2;1998;3;11;30/01/2014;18;18;;;0;;;18;Male
183-11-7-8;Falstersgade 5;Falstersgade 5, 2. th.;Aarhus C;8000;0;01/05/2014;;71;89820;115764;1265;1630;2;1998;3;11;;114;16;;;1;;;16;Female
183-11-8-2;Falstersgade 5;Falstersgade 5, 3. tv.;Aarhus C;8000;1;01/02/2009;31/01/2012;53;61032;66696;1152;1258;3;1998;2;11;31/10/2011;32;22;22;;0;1;;22;Both
183-11-8-4;Falstersgade 5;Falstersgade 5, 3. tv.;Aarhus C;8000;1;01/02/2012;31/05/2014;53;66696;70320;1258;1327;3;1998;2;11;28/02/2014;24;26;;;1;;;26;Female
183-11-8-6;Falstersgade 5;Falstersgade 5, 3. tv.;Aarhus C;8000;1;01/06/2014;31/05/2018;53;70320;79140;1327;1493;3;1998;2;11;28/02/2018;44;22;;;0;;;22;Male
183-11-8-8;Falstersgade 5;Falstersgade 5, 3. tv.;Aarhus C;8000;1;01/04/2018;31/05/2019;53;79140;80155,56;1493;1512;3;1998;2;11;28/02/2019;10;21;20;;0;1;;21;Both
183-11-8-10;Falstersgade 5;Falstersgade 5, 3. tv.;Aarhus C;8000;1;01/06/2019;30/06/2023;53;79140;84276;1493;1590;3;1998;2;11;30/03/2023;45;28;;;0;;;28;Male
183-11-8-12;Falstersgade 5;Falstersgade 5, 3. tv.;Aarhus C;8000;0;01/05/2023;;53;84276;84276;1590;1590;3;1998;2;11;;6;28;;;0;;;28;Male
183-11-9-2;Falstersgade 5;Falstersgade 5, 3. th.;Aarhus C;8000;1;01/05/2007;28/02/2010;71;77484;79800;1091;1124;3;1998;3;11;28/11/2009;30;32;;;1;;;32;Female
183-11-9-4;Falstersgade 5;Falstersgade 5, 3. th.;Aarhus C;8000;1;15/02/2010;31/08/2015;71;79800;92508;1124;1303;3;1998;3;11;31/05/2015;63;27;28;;0;0;;28;Male
183-11-9-6;Falstersgade 5;Falstersgade 5, 3. th.;Aarhus C;8000;1;01/09/2015;30/11/2021;71;92508;107664;1303;1516;3;1998;3;11;30/08/2021;71;;;;;;;;
183-11-9-8;Falstersgade 5;Falstersgade 5, 3. th.;Aarhus C;8000;0;01/12/2021;;71;99540;103521,6;1402;1458;3;1998;3;11;;23;24;26;;1;0;;25;Both
183-11-10-2;Falstersgade 5;Falstersgade 5, 4. tv.;Aarhus C;8000;1;01/01/2009;31/01/2011;47;75624;81012;1609;1724;4;1998;2;11;31/10/2010;21;21;21;;1;0;;21;Both
183-11-10-4;Falstersgade 5;Falstersgade 5, 4. tv.;Aarhus C;8000;1;01/02/2011;31/08/2011;47;24000;24000;511;511;4;1998;2;11;31/05/2011;3;20;;;1;;;20;Female
